from_city,from_station_name,from_station_id,from_latitude,from_longitude,to_city,to_station_name,to_station_id,to_latitude,to_longitude,trip_datetime,trip_price,total_seats,service_class,duration_hours,duration_minutes,office_from,office_to
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T04:44:00,585.0,37,Elite Business Class M,0,480,Cairo | Tahrir,Sharm-Royssat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T06:35:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Rowisat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T08:31:00,400.0,49,Super Go D,0,480,Cairo | Tahrir,Sharm-Royssat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T09:00:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Rowisat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T11:05:00,400.0,49,Super Go D,0,480,Cairo | Tahrir,Sharm-Royssat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T13:15:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Rowisat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T14:01:00,585.0,37,Elite Business Class M,0,480,Cairo | Tahrir,Sharm-Royssat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T16:00:00,620.0,14,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Rowisat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T19:00:00,620.0,14,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Rowisat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T19:35:00,585.0,56,Business Class DD,0,480,Cairo | Tahrir,Sharm-Royssat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T22:15:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Rowisat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T22:30:00,400.0,49,Super Go D,0,480,Cairo | Tahrir,Sharm-Royssat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T23:15:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Rowisat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Royssat,3,27.8736,34.3033,2025-12-24T23:31:00,400.0,49,Super Go D,0,480,Cairo | Tahrir,Sharm-Royssat
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T00:44:00,585.0,56,Business Class DD,0,480,Cairo | Tahrir,Sharm Gobus Station
Cairo,tahrir,8,30.0445,31.2357,Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33,2025-12-24T01:15:00,660.0,13,GoMini,6,480,"Abdel-Moneim Reyad Squer, ( Tahrir )",Sharm El-Sheikh Station
